optimizer,obj,trial,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,1,7,755.57694,0.81424818,0.55884701,0.82491116,0.5536881,0.54670876,0.70146463,0.61449292,0.6859035,0.66097942,0.67321085
SSA,SSEI,2,7,756.78334,0.81424818,0.55884701,0.82491116,0.5536881,0.54670876,0.70146463,0.61449292,0.6859035,0.66097942,0.67321085
SSA,SSEI,3,7,757.96974,0.81424818,0.55884701,0.82491116,0.5536881,0.54670876,0.70146463,0.61449292,0.6859035,0.66097942,0.67321085
GWO,SSEI,1,7,759.16023,0.87452623,0.56818316,0.79353234,0.43870704,0.58718111,0.7188774,0.64638946,0.65873555,0.50481896,0.57159711
GWO,SSEI,2,7,759.82559,0.87452623,0.56818316,0.79353234,0.43870704,0.58718111,0.7188774,0.64638946,0.65873555,0.50481896,0.57159711
GWO,SSEI,3,7,760.45978,0.87452623,0.56818316,0.79353234,0.43870704,0.58718111,0.7188774,0.64638946,0.65873555,0.50481896,0.57159711
MVO,SSEI,1,7,761.09511,0.85171769,0.55192892,0.78901919,0.42489813,0.57186682,0.69371258,0.62692425,0.64949339,0.49257619,0.5602548
MVO,SSEI,2,7,762.24166,0.85171769,0.55192892,0.78901919,0.42489813,0.57186682,0.69371258,0.62692425,0.64949339,0.49257619,0.5602548
MVO,SSEI,3,7,763.38994,0.85171769,0.55192892,0.78901919,0.42489813,0.57186682,0.69371258,0.62692425,0.64949339,0.49257619,0.5602548
PSO,SSEI,1,7,764.53598,0.8131378,0.55732773,0.83798863,0.59435181,0.54596322,0.78059993,0.64253082,0.69896657,0.71353217,0.70617427
PSO,SSEI,2,7,765.15632,0.8131378,0.55732773,0.83798863,0.59435181,0.54596322,0.78059993,0.64253082,0.69896657,0.71353217,0.70617427
PSO,SSEI,3,7,765.7778,0.8131378,0.55732773,0.83798863,0.59435181,0.54596322,0.78059993,0.64253082,0.69896657,0.71353217,0.70617427
