optimizer,obj,trial,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,1,3,19.9164,0.10217398,0.1018462,0.57667692,0.11259112,0.11183073,0.09349841,0.10184619,0.50979375,0.39863059,0.4474107
SSA,SSEI,2,3,20.97985,0.10217398,0.1018462,0.57667692,0.11259112,0.11183073,0.09349841,0.10184619,0.50979375,0.39863059,0.4474107
SSA,SSEI,3,3,22.45266,0.10217398,0.1018462,0.57667692,0.11259112,0.11183073,0.09349841,0.10184619,0.50979375,0.39863059,0.4474107
GWO,SSEI,1,3,49.18361,0.11807644,0.11800436,0.58851282,0.13830903,0.12923617,0.10856949,0.1180048,0.52710943,0.41655931,0.46535894
GWO,SSEI,2,3,49.76212,0.11807644,0.11800436,0.58851282,0.13830903,0.12923617,0.10856949,0.1180048,0.52710943,0.41655931,0.46535894
GWO,SSEI,3,3,50.33645,0.11807644,0.11800436,0.58851282,0.13830903,0.12923617,0.10856949,0.1180048,0.52710943,0.41655931,0.46535894
MVO,SSEI,1,3,75.69579,0.10536939,0.10507124,0.57759487,0.11461282,0.11532815,0.09649041,0.10507163,0.51114667,0.4001336,0.44887827
MVO,SSEI,2,3,76.41327,0.10536939,0.10507124,0.57759487,0.11461282,0.11532815,0.09649041,0.10507163,0.51114667,0.4001336,0.44887827
MVO,SSEI,3,3,77.10867,0.10536939,0.10507124,0.57759487,0.11461282,0.11532815,0.09649041,0.10507163,0.51114667,0.4001336,0.44887827
PSO,SSEI,1,3,103.34001,0.08350683,0.08327102,0.57422051,0.10753995,0.09139929,0.07647011,0.08327085,0.50613333,0.39620908,0.44447567
PSO,SSEI,2,3,103.9011,0.08350683,0.08327102,0.57422051,0.10753995,0.09139929,0.07647011,0.08327085,0.50613333,0.39620908,0.44447567
PSO,SSEI,3,3,104.47084,0.08350683,0.08327102,0.57422051,0.10753995,0.09139929,0.07647011,0.08327085,0.50613333,0.39620908,0.44447567
