optimizer,obj,trial,n_clusters,time_run,MIS,NMIS,RaS,ARS,HS,CS,VMS,PrS,ReS,FmS
SSA,SSEI,1,2,13.97217,0.00765439,0.01109262,0.50696008,0.01392554,0.0111418,0.011045,0.01109319,0.51274278,0.50664724,0.50967678
SSA,SSEI,2,2,15.25736,0.00765439,0.01109262,0.50696008,0.01392554,0.0111418,0.011045,0.01109319,0.51274278,0.50664724,0.50967678
SSA,SSEI,3,2,16.64014,0.00765439,0.01109262,0.50696008,0.01392554,0.0111418,0.011045,0.01109319,0.51274278,0.50664724,0.50967678
GWO,SSEI,1,2,44.77982,0.01199302,0.01738126,0.5111355,0.02227577,0.01745714,0.01730609,0.01738129,0.51691933,0.51079914,0.51384101
GWO,SSEI,2,2,45.50309,0.01199302,0.01738126,0.5111355,0.02227577,0.01745714,0.01730609,0.01738129,0.51691933,0.51079914,0.51384101
GWO,SSEI,3,2,46.22055,0.01199302,0.01738126,0.5111355,0.02227577,0.01745714,0.01730609,0.01738129,0.51691933,0.51079914,0.51384101
MVO,SSEI,1,2,70.80921,0.01076003,0.01559564,0.50984683,0.01969575,0.0156624,0.01552954,0.01559569,0.5156264,0.50964292,0.5126172
MVO,SSEI,2,2,71.61887,0.01076003,0.01559564,0.50984683,0.01969575,0.0156624,0.01552954,0.01559569,0.5156264,0.50964292,0.5126172
MVO,SSEI,3,2,72.43755,0.01076003,0.01559564,0.50984683,0.01969575,0.0156624,0.01552954,0.01559569,0.5156264,0.50964292,0.5126172
PSO,SSEI,1,2,98.69727,0.01076003,0.01559564,0.50984683,0.01969575,0.0156624,0.01552954,0.01559569,0.5156264,0.50964292,0.5126172
PSO,SSEI,2,2,99.41417,0.01076003,0.01559564,0.50984683,0.01969575,0.0156624,0.01552954,0.01559569,0.5156264,0.50964292,0.5126172
PSO,SSEI,3,2,100.1269,0.01076003,0.01559564,0.50984683,0.01969575,0.0156624,0.01552954,0.01559569,0.5156264,0.50964292,0.5126172
